ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
963,female,40,Yes,2,Less than High School,9,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
964,female,29,Yes,0,Bachelors,16,agree,Atheist,pretty happy,spending too little,No
965,female,55,Yes,1,High School,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
966,male,45,Yes,4,High School,11,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
967,male,54,Yes,0,High School,12,unsure,"Believe, but with some doubts",pretty happy,spending too little,Yes
968,male,70,Yes,2,Bachelors,16,disagree,"Don't know, no way to find out",pretty happy,spending too much,No
969,female,57,Yes,8,Associates,14,agree,Believe without a doubt,Very happy,spending too little,Yes
970,female,73,Yes,2,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
971,female,74,Yes,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
972,female,29,Yes,0,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
973,female,56,Yes,1,Graduate degree,19,disagree,Believe in god sometimes,pretty happy,spending too little,Yes
974,male,63,Yes,2,Graduate degree,15,disagree,"Believe, but with some doubts",Very happy,spending too much,Yes
975,male,68,Yes,3,Bachelors,16,disagree,"Believe, but with some doubts",Very happy,spending about the right amount,No
976,male,37,No,0,Bachelors,18,agree,Believe without a doubt,pretty happy,spending too little,No
977,female,45,Yes,1,High School,12,disagree,Believe without a doubt,Very happy,spending too little,Yes
978,female,37,Yes,0,Bachelors,16,unsure,"Believe, but with some doubts",Very happy,spending about the right amount,Yes
979,female,77,Yes,4,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending too much,Yes
980,male,69,Yes,1,High School,12,disagree,Believe without a doubt,pretty happy,spending too much,Yes
981,female,34,Yes,1,Associates,15,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
982,male,82,Yes,8,Associates,20,disagree,Belief in a higher power,Very happy,spending about the right amount,Yes
983,female,60,Yes,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
984,female,81,Yes,6,High School,9,unsure,Believe without a doubt,not too happy,spending too much,No
985,female,42,Yes,4,Graduate degree,15,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
986,female,19,Yes,0,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
987,male,74,Yes,5,Bachelors,16,agree,Believe without a doubt,not too happy,spending too little,Yes
988,male,40,Yes,0,Graduate degree,16,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
989,female,46,Yes,3,Bachelors,17,agree,Believe without a doubt,pretty happy,spending too little,Yes
990,male,33,Yes,2,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
991,female,72,Yes,2,Graduate degree,18,unsure,"Believe, but with some doubts",pretty happy,spending too little,Yes
992,female,35,Yes,2,High School,12,agree,Atheist,pretty happy,spending too little,No
993,female,51,No,2,Associates,14,disagree,Belief in a higher power,pretty happy,spending too little,Yes
994,male,34,Yes,0,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
995,female,36,Yes,2,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
996,male,27,Yes,2,High School,13,agree,"Don't know, no way to find out",pretty happy,spending too little,No
997,female,51,No,3,Less than High School,6,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
998,female,31,Yes,2,Associates,14,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
999,male,39,Yes,3,High School,12,unsure,Believe without a doubt,Very happy,spending too little,Yes
1000,male,48,Yes,2,Associates,14,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
1001,female,63,Yes,0,Bachelors,17,unsure,Belief in a higher power,pretty happy,spending too little,Yes
1002,male,81,Yes,2,Graduate degree,20,agree,"Don't know, no way to find out",pretty happy,spending too little,Yes
1003,female,45,Yes,2,Associates,15,agree,Belief in a higher power,not too happy,spending about the right amount,No
1004,female,57,Yes,3,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1005,female,43,No,2,Graduate degree,18,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,Yes
1006,male,48,No,2,Graduate degree,20,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
1007,female,48,Yes,2,High School,10,unsure,Believe without a doubt,not too happy,spending about the right amount,Yes
1008,female,37,Yes,5,Associates,14,agree,Believe without a doubt,not too happy,spending too little,Yes
1009,female,67,Yes,2,High School,12,agree,Belief in a higher power,Very happy,spending about the right amount,Yes
1010,male,67,Yes,2,Graduate degree,20,unsure,Believe without a doubt,pretty happy,spending too little,Yes
1011,female,54,Yes,3,High School,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1012,male,49,Yes,3,High School,11,agree,Believe without a doubt,not too happy,spending too little,Yes
1013,female,63,Yes,1,Associates,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
1014,male,66,Yes,2,High School,13,agree,Belief in a higher power,not too happy,spending about the right amount,No
1015,female,61,Yes,3,Graduate degree,15,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1016,female,47,Yes,3,Less than High School,5,agree,Believe without a doubt,not too happy,spending too much,Yes
1017,male,43,Yes,3,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending too little,Yes
1018,female,77,Yes,1,Associates,14,agree,Believe without a doubt,Very happy,spending about the right amount,No
1019,female,40,Yes,3,High School,15,disagree,Believe without a doubt,not too happy,spending too little,Yes
1020,male,62,Yes,3,High School,14,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
1021,female,53,Yes,2,Bachelors,20,agree,Belief in a higher power,not too happy,spending too little,Yes
1022,male,23,Yes,1,Less than High School,9,agree,Believe without a doubt,pretty happy,spending too little,Yes
1023,female,35,Yes,3,High School,12,unsure,"Believe, but with some doubts",pretty happy,spending too little,No
1024,male,64,Yes,2,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1025,male,24,Yes,0,High School,12,disagree,Believe in god sometimes,not too happy,spending about the right amount,Yes
1026,male,48,Yes,2,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
1027,female,74,Yes,0,Graduate degree,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
1028,female,34,Yes,2,High School,13,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
1029,male,43,Yes,3,Associates,15,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1030,male,44,Yes,4,Graduate degree,20,agree,Atheist,pretty happy,spending too little,No
1031,female,45,No,2,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1032,female,34,Yes,0,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending too little,Yes
1033,female,59,Yes,2,High School,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1034,female,74,Yes,1,Graduate degree,18,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
1035,male,54,Yes,4,Graduate degree,18,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1036,female,34,Yes,2,Bachelors,16,agree,Believe without a doubt,Very happy,spending about the right amount,No
1037,male,47,Yes,3,Graduate degree,20,agree,Atheist,pretty happy,spending about the right amount,No
1038,female,51,Yes,0,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1039,male,24,Yes,0,Associates,14,disagree,"Don't know, no way to find out",pretty happy,spending too little,Yes
1040,female,50,Yes,0,Bachelors,17,agree,Belief in a higher power,pretty happy,spending too little,No
1041,male,42,Yes,1,High School,13,agree,Believe without a doubt,not too happy,spending about the right amount,No
1042,female,74,Yes,5,Associates,15,agree,Believe without a doubt,Very happy,spending too much,Yes
1043,male,41,Yes,3,High School,14,disagree,Believe without a doubt,not too happy,spending too little,Yes
1044,female,47,Yes,0,High School,13,agree,Believe without a doubt,pretty happy,spending too much,Yes
1045,female,47,Yes,3,High School,12,disagree,Believe without a doubt,pretty happy,spending too much,Yes
1046,male,42,Yes,5,High School,14,agree,Believe in god sometimes,Very happy,spending about the right amount,No
1047,male,54,Yes,0,Bachelors,20,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1048,male,51,Yes,2,Graduate degree,18,agree,Atheist,pretty happy,spending too little,No
1049,female,57,No,4,Graduate degree,17,disagree,Belief in a higher power,pretty happy,spending too little,Yes
1050,male,75,Yes,0,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
1051,male,59,Yes,2,Bachelors,16,agree,Believe in god sometimes,Very happy,spending about the right amount,No
1052,male,57,Yes,2,Associates,14,disagree,Believe without a doubt,pretty happy,spending too much,Yes
1053,female,71,Yes,4,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending too little,Yes
1054,male,37,Yes,3,Graduate degree,19,agree,"Don't know, no way to find out",pretty happy,spending too little,No
1055,male,57,Yes,1,High School,13,agree,Belief in a higher power,pretty happy,spending too little,Yes
1056,female,21,Yes,0,High School,14,disagree,Belief in a higher power,pretty happy,spending too little,Yes
1057,female,23,Yes,0,Associates,14,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
1058,male,40,Yes,0,High School,12,disagree,Belief in a higher power,pretty happy,spending about the right amount,No
1059,female,41,Yes,5,High School,12,disagree,Believe without a doubt,pretty happy,spending too little,Yes
1060,male,75,Yes,3,Associates,14,unsure,Believe without a doubt,Very happy,spending too little,Yes
1061,female,66,Yes,5,Associates,14,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
1062,male,41,Yes,3,High School,13,unsure,Belief in a higher power,pretty happy,spending too little,Yes
1063,female,25,Yes,0,Bachelors,17,unsure,"Believe, but with some doubts",not too happy,spending too little,Yes
1064,female,45,Yes,4,Bachelors,16,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
1065,female,73,No,4,Graduate degree,18,disagree,Believe without a doubt,Very happy,spending too little,Yes
1066,female,22,Yes,1,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1067,female,31,Yes,1,Graduate degree,20,agree,Belief in a higher power,Very happy,spending too little,Yes
1068,male,27,Yes,0,Bachelors,16,agree,Atheist,not too happy,spending about the right amount,No
1069,female,46,No,2,High School,11,disagree,Believe without a doubt,pretty happy,spending too little,No
1070,male,37,No,2,Graduate degree,19,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1071,male,36,Yes,0,Graduate degree,19,agree,"Don't know, no way to find out",not too happy,spending too little,No
1072,female,20,Yes,0,High School,13,disagree,"Believe, but with some doubts",not too happy,spending too little,Yes
1073,female,50,Yes,5,Graduate degree,20,agree,Atheist,pretty happy,spending too little,No
1074,female,60,Yes,2,Associates,14,agree,"Believe, but with some doubts",pretty happy,spending too little,No
1075,female,75,No,3,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1076,male,49,Yes,2,Bachelors,17,unsure,"Believe, but with some doubts",pretty happy,spending too little,No
1077,female,51,Yes,5,Less than High School,10,disagree,Believe without a doubt,not too happy,spending about the right amount,No
1078,male,47,Yes,2,Less than High School,10,disagree,"Believe, but with some doubts",pretty happy,spending too little,No
1079,male,88,Yes,3,Bachelors,17,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
1080,male,32,Yes,2,High School,15,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1081,male,59,Yes,0,High School,12,unsure,"Don't know, no way to find out",not too happy,spending too much,No
1082,male,73,Yes,3,Associates,14,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1083,female,47,Yes,3,High School,13,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
1084,female,63,Yes,0,Bachelors,17,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
1085,male,71,Yes,1,High School,15,disagree,Believe without a doubt,not too happy,spending too much,No
1086,female,32,Yes,0,Less than High School,11,agree,Belief in a higher power,not too happy,spending too little,Yes
1087,female,30,Yes,2,Graduate degree,14,agree,Believe without a doubt,not too happy,spending too little,Yes
1088,female,35,No,2,High School,12,agree,Atheist,not too happy,spending about the right amount,No
1089,female,57,Yes,0,Associates,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1090,female,61,Yes,2,High School,12,disagree,Believe in god sometimes,pretty happy,spending too little,Yes
1091,male,68,Yes,3,Graduate degree,17,unsure,Believe in god sometimes,pretty happy,spending too little,No
1092,male,54,Yes,3,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,No
1093,female,32,No,0,Graduate degree,17,agree,Belief in a higher power,not too happy,spending too little,No
1094,female,76,Yes,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
1095,female,41,No,2,Graduate degree,20,agree,Atheist,Very happy,spending about the right amount,No
1096,female,61,Yes,1,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
1097,female,58,Yes,0,Bachelors,18,agree,Atheist,pretty happy,spending too little,No
1098,female,69,Yes,3,Associates,14,agree,"Don't know, no way to find out",Very happy,spending too little,No
1099,male,72,No,5,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,No
1100,male,40,No,1,Bachelors,16,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
1101,female,24,Yes,0,Less than High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
1102,male,33,No,3,Less than High School,12,agree,Believe in god sometimes,not too happy,spending too little,No
1103,female,30,No,3,Less than High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1104,female,59,No,0,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1105,female,36,Yes,2,Graduate degree,19,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
1106,female,83,Yes,0,Graduate degree,18,agree,Believe in god sometimes,not too happy,spending about the right amount,No
1107,female,74,Yes,1,Associates,14,unsure,Believe without a doubt,pretty happy,spending too little,Yes
1108,male,44,No,3,High School,14,unsure,Believe without a doubt,Very happy,spending about the right amount,Yes
1109,female,51,Yes,3,High School,12,agree,Believe without a doubt,Very happy,spending too much,Yes
1110,female,24,Yes,0,Bachelors,16,agree,Believe without a doubt,not too happy,spending too little,Yes
1111,male,37,Yes,0,High School,12,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
1112,female,36,Yes,1,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1113,male,22,Yes,0,High School,16,unsure,Belief in a higher power,Very happy,spending about the right amount,Yes
1114,male,30,No,0,Graduate degree,16,agree,Atheist,not too happy,spending about the right amount,No
1115,female,36,No,1,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1116,female,45,No,7,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1117,female,55,Yes,0,High School,15,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
1118,female,80,Yes,0,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
1119,female,45,No,1,Bachelors,15,agree,Atheist,pretty happy,spending about the right amount,No
1120,male,62,No,1,Graduate degree,15,agree,Believe in god sometimes,pretty happy,spending too little,No
1121,male,28,Yes,2,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
1122,male,39,Yes,2,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
1123,female,41,Yes,2,High School,12,unsure,Believe without a doubt,not too happy,spending too little,Yes
1124,male,25,Yes,0,High School,15,unsure,"Believe, but with some doubts",pretty happy,spending too little,Yes
1125,male,39,Yes,2,High School,13,disagree,Believe without a doubt,pretty happy,spending too little,Yes
1126,male,82,Yes,3,Bachelors,16,unsure,Belief in a higher power,Very happy,spending about the right amount,No
1127,female,19,Yes,0,High School,13,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1128,female,67,Yes,3,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too much,Yes
1129,male,33,Yes,1,Bachelors,16,agree,Believe without a doubt,pretty happy,spending too little,Yes
1130,female,56,Yes,0,High School,12,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1131,male,24,Yes,0,High School,12,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
1132,female,33,Yes,2,Bachelors,16,disagree,"Don't know, no way to find out",not too happy,spending too much,No
1133,male,22,Yes,0,High School,12,disagree,"Don't know, no way to find out",pretty happy,spending too little,No
1134,female,54,No,4,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending too little,Yes
1135,female,57,No,2,Graduate degree,20,disagree,Believe without a doubt,Very happy,spending too little,Yes
1136,female,20,Yes,0,High School,14,unsure,Believe without a doubt,pretty happy,spending too little,Yes
1137,female,49,Yes,2,Graduate degree,18,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
1138,female,69,Yes,5,High School,14,disagree,Believe without a doubt,Very happy,spending too much,Yes
1139,female,49,No,0,Associates,20,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
1140,female,64,Yes,2,Bachelors,17,agree,Belief in a higher power,Very happy,spending too little,No
1141,male,57,Yes,5,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1142,male,32,Yes,0,Graduate degree,20,agree,Belief in a higher power,pretty happy,spending too little,Yes
1143,female,56,Yes,1,Associates,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1144,male,23,Yes,1,High School,14,agree,"Don't know, no way to find out",pretty happy,spending too little,No
1145,male,34,Yes,0,Graduate degree,19,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1146,male,46,Yes,2,Graduate degree,20,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
1147,female,38,Yes,0,Bachelors,17,disagree,Believe without a doubt,not too happy,spending too little,Yes
1148,female,39,Yes,3,Graduate degree,18,agree,Believe without a doubt,Very happy,spending too little,Yes
1149,female,71,Yes,2,Graduate degree,20,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1150,male,74,Yes,1,Bachelors,16,agree,"Don't know, no way to find out",Very happy,spending about the right amount,No
1151,male,42,Yes,0,Bachelors,17,disagree,Belief in a higher power,not too happy,spending too little,Yes
1152,female,89,Yes,6,Associates,14,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1153,female,74,Yes,0,High School,13,agree,Belief in a higher power,not too happy,spending too little,No
1154,male,64,Yes,4,Graduate degree,20,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1155,female,55,Yes,3,Associates,14,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
1156,male,75,Yes,2,Bachelors,17,agree,Atheist,pretty happy,spending too little,No
1157,male,66,Yes,4,High School,14,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1158,male,28,Yes,0,Graduate degree,18,agree,"Don't know, no way to find out",pretty happy,spending too little,No
1159,female,66,No,0,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1160,female,71,No,0,High School,12,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
1161,male,70,Yes,0,Graduate degree,16,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
1162,female,82,Yes,1,High School,14,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1163,male,32,Yes,0,Associates,14,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1164,female,42,Yes,2,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,Yes
1165,female,82,Yes,2,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
1166,male,63,Yes,2,High School,12,unsure,Believe in god sometimes,pretty happy,spending about the right amount,No
1167,female,61,Yes,2,High School,12,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1168,male,56,No,2,High School,14,disagree,Believe without a doubt,Very happy,spending too much,Yes
1169,male,35,Yes,0,Bachelors,18,disagree,"Believe, but with some doubts",Very happy,spending too little,Yes
1170,female,21,Yes,0,High School,14,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1171,female,70,Yes,1,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
1172,female,56,Yes,0,Graduate degree,20,agree,Atheist,Very happy,spending too little,No
1173,male,40,Yes,1,Bachelors,16,agree,"Don't know, no way to find out",Very happy,spending too little,No
1174,female,70,Yes,2,Graduate degree,18,agree,Belief in a higher power,Very happy,spending about the right amount,No
1175,female,32,Yes,0,Bachelors,16,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
1176,female,57,No,3,Less than High School,6,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1177,male,60,Yes,2,High School,14,agree,Atheist,not too happy,spending too little,No
1178,male,75,Yes,1,High School,12,disagree,"Don't know, no way to find out",pretty happy,spending too little,No
1179,male,73,Yes,2,High School,14,agree,Believe without a doubt,pretty happy,spending too little,Yes
1180,female,56,Yes,3,High School,10,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1181,female,56,Yes,2,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
1182,female,29,Yes,1,Less than High School,8,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
1183,female,60,Yes,2,High School,13,disagree,Believe in god sometimes,pretty happy,spending about the right amount,Yes
1184,male,34,No,2,Less than High School,6,agree,Belief in a higher power,pretty happy,spending about the right amount,No
1185,female,32,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,No
1186,female,69,Yes,2,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1187,male,52,Yes,0,Bachelors,17,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
1188,male,27,Yes,0,Bachelors,17,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
1189,female,70,Yes,1,High School,12,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
1190,female,63,Yes,0,High School,12,agree,Atheist,pretty happy,spending too little,No
1191,female,70,Yes,2,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1192,male,74,Yes,2,High School,12,agree,Atheist,Very happy,spending too little,No
1193,female,61,Yes,3,High School,12,disagree,"Believe, but with some doubts",Very happy,spending too little,No
1194,male,59,Yes,5,Bachelors,17,disagree,Believe without a doubt,pretty happy,spending too little,Yes
1195,female,38,Yes,2,Bachelors,20,agree,Belief in a higher power,pretty happy,spending too little,No
1196,male,35,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending too little,No
1197,female,81,Yes,4,Associates,14,unsure,Believe without a doubt,pretty happy,spending too much,Yes
1198,female,68,No,4,Graduate degree,17,agree,Believe without a doubt,pretty happy,spending too little,No
1199,male,56,Yes,0,Graduate degree,18,agree,Believe in god sometimes,pretty happy,spending too little,No
1200,male,24,Yes,1,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,No
1201,male,80,No,3,High School,12,agree,Atheist,Very happy,spending about the right amount,No
1202,male,32,Yes,0,Graduate degree,16,agree,Atheist,not too happy,spending too little,No
1203,female,31,Yes,0,Bachelors,17,agree,Belief in a higher power,pretty happy,spending about the right amount,No
1204,male,78,Yes,2,Graduate degree,19,agree,Atheist,pretty happy,spending too little,No
1205,female,58,Yes,0,Graduate degree,20,agree,Believe without a doubt,pretty happy,spending too little,Yes
1206,male,65,Yes,2,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
1207,male,72,Yes,4,Associates,16,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
1208,male,64,Yes,8,High School,16,unsure,Belief in a higher power,not too happy,spending too much,Yes
1209,female,23,Yes,2,High School,12,disagree,Believe without a doubt,Very happy,spending too much,Yes
1210,female,62,Yes,2,Bachelors,16,disagree,Belief in a higher power,pretty happy,spending too little,No
1211,female,59,Yes,3,High School,12,disagree,Believe without a doubt,not too happy,spending about the right amount,Yes
1212,female,37,Yes,0,High School,12,disagree,Belief in a higher power,pretty happy,spending too little,Yes
1213,female,65,Yes,2,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
1214,male,72,Yes,2,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1215,female,70,Yes,2,High School,13,agree,Believe without a doubt,pretty happy,spending too little,Yes
1216,female,65,Yes,1,Graduate degree,18,agree,"Don't know, no way to find out",not too happy,spending about the right amount,No
1217,female,28,Yes,0,High School,12,agree,"Don't know, no way to find out",pretty happy,spending too little,No
1218,female,37,Yes,2,High School,14,disagree,Believe without a doubt,Very happy,spending too much,Yes
1219,male,68,Yes,2,High School,12,unsure,Believe without a doubt,Very happy,spending too little,No
1220,male,60,Yes,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1221,male,31,No,2,High School,12,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
1222,female,47,Yes,4,Associates,14,disagree,Believe without a doubt,Very happy,spending too little,Yes
1223,female,63,Yes,0,High School,14,agree,Belief in a higher power,pretty happy,spending too little,Yes
1224,male,46,Yes,1,High School,14,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1225,male,84,Yes,1,Graduate degree,18,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,No
1226,female,67,Yes,0,High School,13,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
1227,female,70,Yes,0,Graduate degree,19,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1228,male,69,Yes,1,Bachelors,17,agree,Belief in a higher power,Very happy,spending too little,Yes
1229,female,60,No,1,High School,13,unsure,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
1230,male,44,Yes,4,Less than High School,10,agree,Belief in a higher power,pretty happy,spending too little,Yes
1231,male,46,No,1,High School,13,agree,Believe without a doubt,Very happy,spending too little,Yes
1232,female,38,Yes,1,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1233,male,59,Yes,2,Graduate degree,18,agree,"Don't know, no way to find out",pretty happy,spending too little,No
1234,male,42,Yes,1,High School,13,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
1235,female,69,Yes,2,Graduate degree,16,agree,Believe in god sometimes,not too happy,spending about the right amount,No
1236,female,55,Yes,3,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending too much,Yes
1237,male,62,Yes,1,Graduate degree,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1238,female,68,Yes,4,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending too little,No
1239,female,83,Yes,5,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
1240,male,74,Yes,4,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
1241,female,79,Yes,3,High School,14,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1242,male,46,Yes,3,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
1243,female,28,Yes,1,High School,12,agree,Belief in a higher power,Very happy,spending too little,Yes
1244,female,50,Yes,4,Graduate degree,18,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
1245,female,22,Yes,0,High School,14,agree,Belief in a higher power,pretty happy,spending too little,Yes
1246,female,38,Yes,3,Bachelors,20,agree,Believe without a doubt,Very happy,spending about the right amount,Yes
1247,male,56,No,2,Bachelors,17,disagree,"Believe, but with some doubts",Very happy,spending too little,No
1248,male,49,Yes,2,Associates,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1249,male,37,No,1,Bachelors,17,unsure,Believe without a doubt,Very happy,spending too little,Yes
1250,female,36,Yes,1,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending too little,Yes
1251,female,36,Yes,1,Bachelors,16,agree,Believe without a doubt,pretty happy,spending too little,Yes
1252,female,35,Yes,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
1253,female,29,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,Yes
1254,male,58,Yes,2,Graduate degree,18,agree,"Believe, but with some doubts",pretty happy,spending too little,No
