ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
96,female,57,Yes,4,High School,12,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
97,female,28,No,2,High School,14,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
98,female,34,No,0,High School,13,agree,Believe without a doubt,not too happy,spending too little,No
99,female,63,Yes,4,Graduate degree,18,agree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
100,male,33,Yes,2,High School,12,agree,Believe without a doubt,pretty happy,spending too little,Yes
101,male,59,Yes,3,High School,14,disagree,Believe without a doubt,not too happy,spending too little,Yes
102,female,44,Yes,4,High School,14,unsure,Believe without a doubt,pretty happy,spending about the right amount,Yes
103,female,46,Yes,2,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
104,male,67,Yes,2,High School,12,unsure,Atheist,pretty happy,spending too little,No
105,female,42,No,1,High School,15,disagree,Believe without a doubt,pretty happy,spending too much,Yes
106,male,60,Yes,4,Bachelors,16,unsure,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
107,female,29,Yes,0,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,Yes
108,male,35,No,0,Graduate degree,19,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
109,female,34,Yes,1,Graduate degree,20,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
110,male,68,Yes,2,High School,15,agree,Belief in a higher power,not too happy,spending about the right amount,Yes
111,female,45,Yes,3,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
112,female,42,Yes,3,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
113,female,74,Yes,1,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
114,male,32,No,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
115,female,52,Yes,1,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
116,male,37,No,0,Graduate degree,16,agree,"Don't know, no way to find out",not too happy,spending too little,No
